"Wasabi Korean and Japanese Cuisine","Korean",3
"Wasabi Korean and Japanese Cuisine","Japanese",3
"Albena","American (Traditional)",4.5
"Wasabi Korean and Japanese Cuisine","Sushi Bars",3
"Grandma Bob's","Cocktail Bars",4.5
"Grandma Bob's","Pizza",4.5
"Belle Isle Pizza","Pizza",4.5
"Niki's Pizza","Pizza",3.5
"Niki's Pizza","Greek",3.5
"Urban Bean Co","Juice Bars & Smoothies",4
"Urban Bean Co","Coffee & Tea",4
"Urban Bean Co","Internet Cafes",4
"Hot Taco","Mexican",3
"Noodle Art","Ramen",4
"Noodle Art","Noodles",4
"Louie's Ham And Corned Beef","Breakfast & Brunch",4
"Louie's Ham And Corned Beef","Salad",4
"Louie's Ham And Corned Beef","Sandwiches",4
"The Fly Trap","Diners",4
"The Fly Trap","Breakfast & Brunch",4
"Michigan Science Center","Museums",4
"Highlands","American (New)",4
"Highlands","Bars",4
"Highlands","Steakhouses",4
"Imperial","Bars",4
"Imperial","Tacos",4
"Kiesling","Cocktail Bars",4.5
"Kiesling","Venues & Event Spaces",4.5
"Condado Tacos - Midtown","Bars",4
"Condado Tacos - Midtown","Tacos",4
"Hero Or Villain Van","Food Trucks",4.5
"Hero Or Villain Van","Sandwiches",4.5
"Hero Or Villain Van","Caterers",4.5
"Brew Detroit","Breweries",4
"Brew Detroit","Beer Bar",4
"Polonia Restaurant","Polish",4
"Polonia Restaurant","Venues & Event Spaces",4
"Sheeba Express","Juice Bars & Smoothies",4.5
"Sheeba Express","Sandwiches",4.5
"Fourteen East","Cafes",4
"Sheeba Express","Mediterranean",4.5
"Fourteen East","Art Galleries",4
"Fourteen East","Coffee & Tea",4
"Tamaleria Nuevo Leon","Mexican",4
"Dequindre Cut Greenway","Parks",4.5
"Pollo Chapin","Mexican",4
"Pollo Chapin","Latin American",4
"Andrews On the Corner","American (New)",4
"Andrews On the Corner","Soup",4
"Andrews On the Corner","Salad",4
"El Catracho","Honduran",4.5
"Temple Bar","Dive Bars",4.5
"Cold Truth","Ice Cream & Frozen Yogurt",4.5
"Mutiny Tiki Bar","Tiki Bars",4
"Cutter's Bar & Grill","Sports Bars",4
"Cutter's Bar & Grill","American (Traditional)",4
"Detroiter Bar","American (Traditional)",4
"Prism","Seafood",4
"Prism","Steakhouses",4
"Ivanhoe Cafe - Polish Yacht Club","American (Traditional)",4.5
"Le Culture Cafe","Seafood",3.5
"Ivanhoe Cafe - Polish Yacht Club","Polish",4.5
"Ivanhoe Cafe - Polish Yacht Club","Seafood",4.5
"Detroiter Bar","Sports Bars",4
"Le Petit Dejeuner","Breakfast & Brunch",3.5
"Bon Bon Bon","Desserts",5
"Bon Bon Bon","Chocolatiers & Shops",5
"Harry's Detroit Bar & Grill","Sports Bars",3.5
"Hamido","Lebanese",4
"Ochre Bakery","Bakeries",4
"Harry's Detroit Bar & Grill","American (Traditional)",3.5
"Ochre Bakery","Coffee & Tea",4
"Ochre Bakery","Sandwiches",4
"La Pecora Nera","Coffee & Tea",4
"La Pecora Nera","Breakfast & Brunch",4
"La Pecora Nera","Gelato",4
"7 Greens Detroit Salad","Salad",3.5
"Common Pub","Pubs",4
"Common Pub","Poutineries",4
"Sheeba Restaurant","Middle Eastern",4
"Sheeba Restaurant","Halal",4
"Amar Pizza","Burgers",4.5
"Amar Pizza","Bangladeshi",4.5
"The Monarch Club","Cocktail Bars",3.5
"The Monarch Club","Tapas/Small Plates",3.5
"Sicily's Pizzeria & Subs","Salad",4
"Sicily's Pizzeria & Subs","Pizza",4
"Amar Pizza","Pizza",4.5
"Sicily's Pizzeria & Subs","Chicken Wings",4
"Los Dos Amigos","Food Stands",5
"Los Dos Amigos","Mexican",5
"Mink","Seafood",4.5
"Mink","Wine Bars",4.5
"Cuisine","French",3.5
"Anchor Bar","Pubs",3.5
"La Casa","Cigar Bars",4
"Iggy’s Eggies","Breakfast & Brunch",4
"24grille","Bars",3
"La Casa","Lounges",4
"Yelp Perk: Complimentary Dessert from Baobab Fare","Yelp Events",4.5
"La Casa","American (New)",4
"24grille","American (Traditional)",3
"The Greek","Greek",4
"Colors","American (New)",4
"Colors","Burgers",4
"Colors","Sandwiches",4
"The Greek","Mediterranean",4
"Zo's Good Burger - Dearborn","Fast Food",4.5
"Zo's Good Burger - Dearborn","Burgers",4.5
"Zo's Good Burger - Dearborn","Halal",4.5
"Leila","Lebanese",3.5
"Armando's","Mexican",3
"Dossin Great Lakes Museum","Museums",4.5
"AWAKE Cafe Detroit","Coffee & Tea",5
"Marche du Nain Rouge","Local Flavor",5
"AWAKE Cafe Detroit","Sandwiches",5
"Las Cazuelas","Mexican",4.5
"Loui's Pizza","Pizza",4.5
"Loui's Pizza","Italian",4.5
"AWAKE Cafe Detroit","Breakfast & Brunch",5
